,Review,Subtheme_1,Sentiment_1,Subtheme_2,Sentiment_2,Subtheme_3,Sentiment_3,Subtheme_4,Sentiment_4,Subtheme_5,Sentiment_5,Subtheme_6,Sentiment_6,Subtheme_7,Sentiment_7,Subtheme_8,Sentiment_8,Subtheme_9,Sentiment_9,Subtheme_10,Sentiment_10,Subtheme_11,Sentiment_11,Subtheme_12,Sentiment_12,Subtheme_13,Sentiment_13,Subtheme_14,Sentiment_14,Subtheme_15,Sentiment_15,Subtheme_16,Sentiment_16,Subtheme_17,Sentiment_17,Subtheme_18,Sentiment_18,Subtheme_19,Sentiment_19,Subtheme_20,Sentiment_20,Subtheme_21,Sentiment_21,Subtheme_22,Sentiment_22,Subtheme_23,Sentiment_23,Subtheme_24,Sentiment_24,Subtheme_25,Sentiment_25,Subtheme_26,Sentiment_26,Subtheme_27,Sentiment_27,Subtheme_28,Sentiment_28,Subtheme_29,Sentiment_29,Subtheme_30,Sentiment_30
116,"Very professional and helpful staff.Strongly recommend although I had slightly problems with one of the garage's date after I selected the convenient garage with their availability date and hour to fit four tyres for my car.15 minutes later I received an email from [REDACTED], saying that the nominated garage is fully booked on that day ( when I booked there were showing other three different times as well on that day !! ).The garages's deta bases have to be up to date with [REDACTED] system. Many thanks to [REDACTED] staff were resolved the problem very quickly.",professional helpful staff,positive,recommend have problem garage date select convenient garage availability date hour fit tyre car.15 minute receive email REDACTED say nominated garage book day book show other different time day,positive,.The garage deta basis have date REDACTED system,negative,many thank REDACTED staff resolve problem,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,"Will use again. Ease of ordering on line, choice of garage, good price and pleased with service all round.",use,negative,ease order line choice garage good price please service,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,"Excellent service. Price is great (fitting included in price, no hidden costs). Fast and great service, will always recommend.",excellent service,positive,price great fit include price hidden cost,positive,fast great service recommend,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,"Easy to use and garage was great. Only crticism is that on [REDACTED] it said the slot was morning so I checked with them what that actualy meant. They said I could go anytime from 8.30 to 11.30. I booked the fitting and got an appointment time of 8.30, no flexibility as per first enquiry. I mentioned this to the garage and they told me they also get told what time slot it is by [REDACTED]. This should be clearer up front.",easy use garage great,positive,crticism say slot morning check actualy mean,negative,say go,negative,book fitting get appointment time flexibility first enquiry,positive,mention garage tell tell time slot REDACTED,negative,clear front,negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,"Seamless hasslefree experience. Seamless delivery, fitting and payment. Good price too. I like being able to select the tyre I want in advance. There was a good range to suit my budget and being able to schedule it for a time/day that suits me is very handy.",seamless hasslefree experience,positive,seamless delivery fitting payment,positive,good price,positive,like able select tyre want advance,positive,be good range suit budget able schedule time day suit handy,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,Very easy to use and a great saving on previous quotes. Faultless from start to finish,easy use great saving previous quote,positive,faultless start finish,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,"Never had any issues with the tyres, fitting or garages i’ve Used via [REDACTED]- easy and cost effective service.",have issue tyre fitting garage use easy cost effective service,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,"The whole process is very slick, prices competitive, and the ratings of nearby fitters helpful to choose who to use. I have used [REDACTED] for a number of years now and never been let down.",whole process slick price competitive rating nearby fitter helpful choose use,negative,use REDACTED number year let,negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,Got high end tyres for an awesome price. Definitely use again.,Got high end tyre awesome price,positive,use,negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,"Friendly service and advice,very good prices through [REDACTED]",friendly service advice good price,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,Great service and a nice easy way to choose tyres for your budget,great service nice easy way choose tyre budget,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,"No problem ordering online, quick and easy process, good choice of booking slots and pit stop convenient to get to. Took guys longer than expected to change my tyres but could see that they were tired and had a very long and busy day. They were friendly and just nice guys. Thanks for doing the job and will definitely use them again. Cathy",problem order online quick easy process good choice book slot pit stop convenient get,positive,take guy expect change tyre see tired have long busy day,negative,friendly nice guy,positive,thank do job use,positive,Cathy,negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,"This company wont leave you deflated. Really easy peasy way to buy decent reasonably priced tyres with the ability to pick a fitting time,|(if required) that suits your needs. Used them now for the last four or five years and never had a problem.",company leave deflate,negative,"easy peasy way buy decent price tyre ability pick fitting time,|(if require suit need",positive,use last year have problem,negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,"Reliable. Fast, reliable and with excellent prices.",reliable,negative,fast reliable excellent price,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,"What a great service. The [REDACTED] website offered me a great price and the tyres were delivered to my local fitter promptly - as promised! The fitter at M D Tyre & Exhaust Centre, Gorse Lane Industrial Estate, Clacton was friendly and thorough. I would be quite happy to recommend this service!",great service,positive,REDACTED website offer great price tyre deliver local fitter promise,positive,fitter M D Tyre Exhaust Centre Gorse Lane Industrial Estate Clacton friendly thorough,positive,happy recommend service,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,"Was quite happy to book with them, but the reason i only gave an average review my appointment was changed twice and i had other arrangements in place which i had to change",happy book reason give average review appointment change have other arrangement place have change,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,Quick easy courteous fair value,quick easy courteous fair value,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,Good choice of tyres at a competitive price. This is the second time I have used them and both times I have been very happy with the service.,good choice tyre competitive price,positive,second time use time happy service,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,"Tyres ok, but balance on wheels was set very wrong by garage. I Gone abroad and had to stop In Germany to set balance again because it was not possible to drive.",tyre ok balance wheel set wrong garage,negative,go have stop Germany set balance possible drive,negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,"Great service, great price and able to book a garage on line at a time that suits",great service great price able book garage line time suit,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,Excellent. Easy to navigate web page clear pricing structure . 5 stars,excellent,positive,easy navigate web page clear pricing structure,positive,star,negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,Got 4 tyres £150 cheaper and was fitted at my local ats same week would recommend them to anyone,got tyre cheap fit local at same week recommend,negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,Tyres fitted at ats couldn’t fault them only issue is ats could have done same price and not moaned at having to fit tyres for [REDACTED] stating they didn’t like [REDACTED] Other downside is [REDACTED] don’t offer tyre insurance but ats would have if I bought them from ats insurance at £9 per tyre. I don’t think I’d use [REDACTED] again or recommend them,tyre fit ats fault issue at do same price moan have fit tyre state like other downside offer tyre insurance ats have buy ats insurance tyre,positive,think use recommend,negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,"Great price, no fuss",great price fuss,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,"Good value, easy to order and a good local garage to fit the tyre.",good value easy order good local garage fit tyre,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,Very easy to order and quick to deliver,easy order quick deliver,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,Tyres delivered quickly and excellent time slot for me. Tyres delivered quickly and excellent time for fitting provided for me. The actual fitting took a bit longer than expected. Apparently this was due to one of the new tyres not inflating on the rim. The fitter stated this was because the tyres are stored badly and when delivered they are slightly mis shapen and won’t fit on the rim properly. He did get there in the end after many attempts. Pleased with the tyres and no other problems encountered.,tyre deliver excellent time slot,positive,tyre deliver excellent time fitting provide,positive,actual fitting take bit expect,positive,due new tyre inflate rim,positive,fitter state tyre store deliver shapen fit rim,negative,get end many attempt,positive,pleased tyre other problem encounter,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,Thank you again Excellent service. Value for money. Exceptional service. Easy to navigate website. What more do you need? Thanks again [REDACTED].,thank excellent service,positive,value money,negative,exceptional service,positive,easy navigate website,positive,more need,positive,thank,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,Good prices easy to organise. Buying on line easy with a good range of local fitters - chose a garage we know well and everything was done as expected with no hassles,good price easy organise,positive,buy line easy good range local fitter choose garage know do expect hassle,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,[REDACTED] does what it says on the tin you get the tyres you want fitted by your trusted local tyre fitter at a very good price,do say tin get tyre want fit trust local tyre fitter good price,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,"very happy. found a set I needed quickly online, booked a fitting when it suited me, had to change that time and did so with ease, the garage fitted tyres swiftly and on time, and I saved a few quid.",happy,positive,find set need book fitting suit have change time do ease garage fit tyre time save few quid,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,"Good tyres, at a good price",good tyre good price,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,Great service at a great price.,great service great price,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,"Great as usual. We've purchased from [REDACTED] several times, this time from a completely different garage. They were really good, the tyre fitter was nice and very friendly, job was well done.I can't recommend them enough and going through [REDACTED] meant cheaper too.",great usual,positive,purchase REDACTED several time time different garage,negative,good tyre fitter nice friendly job do,positive,recommend go REDACTED mean cheap,negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,Great Service. Not quite the cheapest this time but service at Protyre Weston-super-Mare excellent.,Great Service,positive,cheap time service Protyre Weston super - mare excellent,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,Good prices and good choice of fitting near me used many times before and will do in the future.,good price good choice fit use many time do future,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,Tires as ordered delivered on time and at a very good price. Excellent service.,tire order deliver time good price,positive,excellent service,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,Best price for tyres and easy to deal with.,good price tyre easy deal,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,"Good value and very wide choice of tyres, booking is easy and the fitting garage were very professional.",good value wide choice tyre booking easy fitting garage professional,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,Good value convenient service. Easy to change booking.,good value convenient service,positive,easy change booking,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,excellent service once againshoutout to lepsons garage also. great guys. excellent swift service!,excellent service againshoutout lepson garage,positive,great guy,positive,excellent swift service,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,Prompt efficient service at a very competitive price,prompt efficient service competitive price,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,Good service good tyres at the right price. Thankyou,good service good tyre right price,positive,Thankyou,negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,"Highly recommended. Quick, convenient, efficient. Good price too.",recommend,positive,quick convenient efficient,positive,good price,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,Great experience quick change of tires got the budget one's and they feel like premium one's,great experience quick change tire get budget one feel premium,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161,"Great service. Came to my work, on time, and so quick. Can’t fault them..will def use again.",great service,positive,come work time quick,positive,fault def use,negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,The ordering and booking process was straight forward. However the fitting of the tyres was delayed so had to hang around for over 45mins longer than expected. Something beyond [REDACTED] influence.,ordering booking process,positive,fitting tyre delay have hang 45min expect,positive,REDACTED influence,negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,Easy to use and by far the cheapest around. Great communication,easy use cheap,positive,great communication,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164,Good service and was able to have them fitted by a local garage all arranged through [REDACTED].Will use them again.,good service able have fit local garage arrange redacted].will use,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165,Best Quality Tyres and Cheapest Prices I Could Find On The Internet!!! Will Definitely Use Again!!!,Best Quality Tyres Cheapest price,positive,find internet,negative,use,negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,Excellent service. Prompt and efficient replacement of 4 tyres at home at an agreed time on a Saturday morning.,excellent service,positive,prompt efficient replacement tyre home agree time Saturday morning,negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
167,"Great price, easy to use website with the ability to use local garage for fitting. First time i have used [REDACTED] and will definately use them again",great price easy use website ability use local garage fitting,positive,first time use REDACTED use,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
168,Tyres and fitting. Tyres ordered into my local ATS - cannot fault the service or price.,tyre fitting,positive,tyre order local ATS fault service price,negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169,"Excellent pricing, at a garage I have used and trusted before.",excellent pricing garage use trust,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,Great price and service - highly recommended,great price service recommend,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171,"Very Good Service Great Prices. I had my Tyres fitted at McKinnons in Wellington, Surrey. The service was quick efficient and the fitter was a good communicative type of chap! All in all very pleased with the price and fitment of the tyres.",Good Service Great Prices,positive,have Tyres fit McKinnons Wellington Surrey,negative,service quick efficient fitter good communicative type chap,positive,pleased price fitment tyre,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172,Nice idea but double check garage has equipment. It turned out that The garage selected didn’t have the equipment required to change the tyres. My husband ended up losing a day taking the car to a 2nd garage. There is now a clunking sound under the car - so will have to take it to a third garage to get this looked at.,nice idea double check garage have equipment,positive,turn garage select have equipment require change tyre,negative,husband end lose day take car 2nd garage,negative,be clunk sound car have take third garage get look,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173,Easy to use website. Local friendly fitting station quality product at the right price,easy use website,positive,local friendly fitting station quality product right price,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
174,Consistently good. Blackheath Tyres coped very well on a busy morning and the quality tyres were fitted expertly. Its the same every time I use [REDACTED].,good,positive,Blackheath Tyres cope busy morning quality tyre fit,positive,same time use REDACTED,negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175,Excellent service. Reliable product at a realistic price!,excellent service,positive,reliable product realistic price,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176,Simple and easy to use. Tyres were cheaper than other places I looked and tyre fitting was very simple with lots of garages to pick from. All with date and times to suit everyone.,simple easy use,positive,tyre cheap other place look tyre fitting simple lot garage pick,positive,date time suit,negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
177,Does what it says. Good price promptly fitted does what it says on the tin what more can you say,do say,negative,good price fit do say tin more say,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
